Id Marker Vertices Edges
0 2 131 15 123 345 325 2
1 1 105 23 28 277 4 3
2 1 116 51 50 306 8 6
3 1 95 61 47 250 9 10
4 1 103 6 103 274 14 79
5 1 138 26 138 368 16 81
6 3 130 123 43 343 1 2
7 0 51 54 50 20 21 7
8 1 139 17 14 369 22 23
9 0 13 16 20 25 26 27
10 1 142 65 142 380 29 169
11 0 85 10 73 31 32 33
12 1 111 68 69 293 34 35
13 1 107 80 107 284 38 65
14 1 141 64 141 377 42 183
15 1 115 42 12 303 43 44
16 1 137 26 137 365 47 71
17 1 134 17 16 354 50 49
18 0 15 18 38 51 52 19
19 0 7 38 18 53 52 54
20 1 134 37 134 356 50 24
21 1 132 36 1 348 58 57
22 1 126 16 126 336 60 26
23 1 133 17 15 351 62 61
24 1 139 15 139 371 22 24
25 2 107 90 11 282 38 65
26 1 127 39 78 337 67 68
27 1 137 9 20 363 47 70
28 1 126 20 9 334 60 70
29 1 115 22 115 305 43 45
30 0 21 43 42 74 75 44
31 0 28 23 25 3 76 77
32 0 13 20 26 27 46 78
33 0 22 26 21 15 48 73
34 0 28 25 29 77 79 80
35 1 138 6 22 366 16 12
36 1 101 12 48 266 83 82
37 0 13 26 24 78 17 85
38 1 120 12 42 316 86 87
39 1 104 33 31 275 5 88
40 1 103 25 29 272 14 90
41 1 105 31 105 279 4 5
42 0 12 29 22 84 13 72
43 0 27 28 29 91 80 93
44 0 34 31 27 94 92 95
45 0 34 35 31 96 97 94
46 0 76 0 33 98 99 100
47 0 48 12 46 82 87 101
48 1 93 34 48 244 104 102
49 0 48 34 27 103 95 105
50 0 76 33 31 100 88 106
51 0 35 34 32 96 102 107
52 0 35 32 66 107 108 109
53 0 35 30 75 41 110 111
54 0 16 13 36 25 112 59
55 1 132 16 132 350 58 59
56 0 77 38 7 114 53 115
57 2 129 91 15 341 19 18
58 1 98 40 52 258 119 118
59 2 128 92 38 339 116 122
60 1 120 44 120 318 86 45
61 1 109 45 19 288 127 125
62 0 45 4 44 128 129 130
63 0 43 21 9 74 71 131
64 0 44 42 41 124 132 133
65 1 133 43 133 353 62 23
66 0 41 42 43 132 75 0
67 0 45 44 41 130 133 134
68 0 44 4 46 129 135 123
69 0 19 45 41 126 134 117
70 1 108 4 108 287 136 120
71 0 49 46 4 137 135 138
72 1 101 27 101 268 83 84
73 2 118 0 89 310 234 139
74 2 96 89 50 252 142 232
75 0 49 48 46 143 101 137
76 1 100 62 48 263 144 145
77 1 117 4 49 308 141 138
78 1 100 49 100 265 144 146
79 1 108 51 40 285 136 6
80 1 96 55 96 254 142 139
81 0 52 40 56 118 149 150
82 1 99 72 99 262 151 163
83 2 122 97 122 324 153 159
84 0 54 53 59 156 157 158
85 1 122 70 68 322 153 35
86 1 114 85 58 300 162 161
87 1 99 52 51 260 151 163
88 1 94 59 94 249 164 175
89 1 144 65 67 384 166 167
90 0 61 66 62 169 170 171
91 2 110 56 106 290 280 64
92 1 97 11 97 257 154 155
93 0 54 59 50 158 147 21
94 1 124 81 124 330 173 36
95 1 94 73 53 247 164 32
96 1 119 55 119 315 176 187
97 0 5 65 63 28 167 177
98 1 102 86 102 271 179 190
99 0 66 5 64 181 182 183
100 1 93 62 93 246 104 103
101 0 47 61 62 11 171 145
102 1 121 61 121 321 185 168
103 1 121 67 55 319 185 186
104 0 66 32 62 108 184 170
105 1 119 67 10 313 176 186
106 1 142 66 5 378 29 181
107 1 141 66 35 375 42 109
108 0 10 85 86 31 188 189
109 2 144 102 144 386 166 168
110 1 143 11 143 383 192 155
111 1 111 70 111 295 34 36
